Name_LoadLF,LibType,Status,P_loadLF,Unit,Q_loadLF,Unit,p_mw,q_mw,Np,Nq,connectionType
CHARRUA_154,PQ load Yg with load-flow (LF),1,51.68,MW,20.81666666667,MVAR,155.04,62.45000000000999,0,0,Yg
CONCEPCION_220,PQ load Yg with load-flow (LF),1,32.8,MW,11.8,MVAR,98.39999999999999,35.400000000000006,0,0,Yg
TR_HUALQUI_220,PQ load Yg with load-flow (LF),1,10.94,MW,1.683333333,MVAR,32.82,5.049999999,0,0,Yg
TR_HUALP_N1,PQ load Yg with load-flow (LF),1,28.3,MW,-8.213333333,MVAR,84.9,-24.639999998999997,0,0,Yg
TR_LGUINDOS,PQ load Yg with load-flow (LF),1,15.4667,MW,4.2933333333,MVAR,46.400099999999995,12.879999999899999,0,0,Yg
TR_MAPA,PQ load Yg with load-flow (LF),1,16,MW,-6.3,MVAR,48,-18.9,0,0,Yg
L_RUCUE220,PQ load Yg with load-flow (LF),1,0.43,MW,0.09,MVAR,1.29,0.27,0,0,Yg
L_MAMPIL220,PQ load Yg with load-flow (LF),1,0.62,MW,0.06,MVAR,1.8599999999999998,0.18,0,0,Yg
TR_COLBUN_N1,PQ load Yg with load-flow (LF),1,32.7466666,MW,11.093333333,MVAR,98.23999979999999,33.279999999,0,0,Yg
TR_EL_LOA,PQ load Yg with load-flow (LF),1,7.6333,MW,-0.1333,MVAR,22.899900000000002,-0.39990000000000003,0,0,Yg
ELPENON_220,PQ load Yg with load-flow (LF),1,18.07778,MW,0.13333333334,MVAR,54.23334,0.40000000002,0,0,Yg
